Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 25 Aug 1985, VECC, 42809, 850825/0000, 22.64, 88.44, 6.0, -2.73, -5.77, -6.36, 233.80, 41.20, 22.90, 24.30, 47.20, 2827.73, 3015.48, -4.58, -2.04, 903.16, 919.07, 296.90, 951.45, 301.19, 19.95, 5784.00, 64.72
 12Z 25 Aug 1985, VECC, 42809, 850825/1200, 22.64, 88.44, 6.0, -0.26, -3.66, -4.32, 234.58, 37.60, 20.00, 22.50, 42.50, 1714.99, 1904.25, -1.38, -0.15, 131.85, 129.74, 911.34, 930.07, 285.79, 317.32, 297.67, 960.42, 301.16, 20.74, 5812.00, 66.93
 00Z 26 Aug 1985, VECC, 42809, 850826/0000, 22.64, 88.44, 6.0, -3.11, -3.21, -3.69, 288.59, 42.30, 22.70, 22.90, 45.60, 2952.13, 3083.80, -36.79, -35.14, 109.96, 108.63, 845.20, 846.98, 293.05, 306.12, 296.69, 944.88, 301.58, 19.81, 5819.00, 72.05
 12Z 26 Aug 1985, VECC, 42809, 850826/1200, 22.64, 88.44, 6.0, -0.62, -4.15, -4.89, 244.01, 36.70, 20.10, 22.50, 42.60, 3366.44, 3602.11, -7.29, -3.47, 106.73, 106.51, 898.17, 912.27, 1341.97, 1435.91, 297.48, 934.95, 303.29, 21.07, 5840.00, 66.57
 00Z 27 Aug 1985, VECC, 42809, 850827/0000, 22.64, 88.44, 6.0, 6.56, 4.38, 3.96, 158.01, 28.70, 13.50, 21.50, 35.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 288.49, 871.13, 300.10, 13.55, 5791.00, 42.46
 12Z 27 Aug 1985, VECC, 42809, 850827/1200, 22.64, 88.44, 6.0, 1.00, -2.26, -3.44, 249.78, 34.40, 18.40, 21.10, 39.50, 1643.26, 1953.79, -3.62, -0.42, 141.23, 136.50, 888.38, 931.36, 362.14, 430.58, 297.40, 938.17, 302.91, 20.92, 5842.00, 56.43
 00Z 28 Aug 1985, VECC, 42809, 850828/0000, 22.64, 88.44, 6.0, 0.15, -4.09, -4.85, 224.40, 32.70, 20.10, 23.50, 43.60, 2796.84, 3018.66, -2.59, -0.06, 120.04, 120.06, 900.81, 934.45, 453.00, 488.92, 296.01, 946.23, 300.74, 19.07, 5804.00, 54.77
 12Z 28 Aug 1985, VECC, 42809, 850828/1200, 22.64, 88.44, 6.0, -1.34, -4.50, -5.72, 263.39, 35.10, 20.90, 22.90, 43.80, 8207.64, 8527.28, -0.11, 0.00, 110.15, 109.31, 932.39, 935.28, 20.69, 21.50, 297.33, 935.28, 303.09, 20.86, 5827.00, 56.46
 00Z 29 Aug 1985, VECC, 42809, 850829/0000, 22.64, 88.44, 6.0, -3.87, -8.19, -8.96, 258.00, 39.20, 24.50, 25.30, 49.80, 5085.37, 5327.71, 0.00, 0.00, 107.09, 106.64, 954.45, 956.55, 3533.74, 3702.14, 297.58, 962.75, 300.85, 20.57, 5778.00, 59.84
 12Z 29 Aug 1985, VECC, 42809, 850829/1200, 22.64, 88.44, 6.0, -5.35, -6.10, -6.99, 873.00, 45.30, 24.50, 24.50, 49.00, 2148.07, 2351.56, -5.44, -3.94, 904.24, 910.02, 10.00, 10.95, 298.13, 942.93, 303.21, 21.71, 5841.00, 76.78
