Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 07 May 1985,1,1000.0,78,20.4,19.0,92,14.03,75,4,293.6,333.7,296.0
00Z 07 May 1985,2,850.0,1476,19.2,10.2,56,9.27,230,8,306.2,334.5,307.9
00Z 07 May 1985,3,700.0,3214,6.2,4.2,87,7.44,315,41,309.3,332.4,310.7
00Z 07 May 1985,4,500.0,5720,-11.1,-12.1,92,3.04,300,40,319.4,329.7,320.0
00Z 07 May 1985,5,400.0,7070,-70.0,-71.4,82,0.01,310,72,263.9,264.0,263.9
00Z 07 May 1985,6,300.0,8925,-35.5,NA,NA,NA,245,27,335.2,NA,335.2
00Z 08 May 1985,0,1007.0,20,22.4,19.9,86,14.75,45,2,295.0,337.4,297.6
00Z 08 May 1985,1,1000.0,72,24.0,23.0,94,18.05,110,5,297.1,349.6,300.4
00Z 08 May 1985,2,900.0,986,21.8,14.8,64,11.90,175,3,304.0,339.6,306.1
00Z 08 May 1985,3,850.0,1475,17.4,12.6,73,10.90,210,2,304.4,337.1,306.4
00Z 08 May 1985,4,700.0,3099,7.0,NA,NA,NA,255,19,310.2,NA,310.2
00Z 08 May 1985,5,500.0,5790,-11.1,NA,NA,NA,40,15,319.4,NA,319.4
00Z 08 May 1985,6,400.0,7470,-21.7,NA,NA,NA,30,14,326.7,NA,326.7
00Z 08 May 1985,7,300.0,9520,-36.5,NA,NA,NA,230,33,333.8,NA,333.8
00Z 08 May 1985,8,250.0,10750,-44.1,NA,NA,NA,235,49,340.4,NA,340.4
00Z 08 May 1985,9,200.0,12210,-53.9,NA,NA,NA,240,48,347.2,NA,347.2
00Z 08 May 1985,10,150.0,14030,-62.3,NA,NA,NA,240,83,362.6,NA,362.6
00Z 08 May 1985,11,148.0,14110,-62.7,NA,NA,NA,270,84,363.3,NA,363.3
00Z 08 May 1985,12,100.0,16460,-73.3,NA,NA,NA,NA,NA,385.9,NA,385.9
00Z 10 May 1985,0,1005.0,20,23.8,21.0,84,15.85,90,2,296.5,342.4,299.3
00Z 10 May 1985,1,1000.0,62,22.6,18.9,80,13.94,105,6,295.8,336.0,298.2
00Z 10 May 1985,2,900.0,970,21.0,20.4,96,17.08,154,10,303.1,354.0,306.2
00Z 10 May 1985,3,850.0,1455,15.2,10.2,72,9.27,180,12,302.1,329.8,303.7
00Z 10 May 1985,4,700.0,3070,7.0,-2.0,53,4.74,195,8,310.2,325.3,311.1
00Z 10 May 1985,5,500.0,5720,-16.1,NA,NA,NA,335,95,313.4,NA,313.4
00Z 10 May 1985,6,400.0,7400,-19.5,NA,NA,NA,330,6,329.6,NA,329.6
00Z 10 May 1985,7,300.0,9440,-41.5,NA,NA,NA,240,39,326.8,NA,326.8
00Z 10 May 1985,8,250.0,10700,-53.5,NA,NA,NA,245,51,326.4,NA,326.4
00Z 10 May 1985,9,200.0,12130,-58.5,NA,NA,NA,NA,NA,340.0,NA,340.0
00Z 23 May 1985,0,1000.0
00Z 23 May 1985,1,999.0,20,26.4,24.9,91,20.33,45,2,299.6,359.4,303.3
00Z 23 May 1985,2,920.0,676,22.4,8.4,41,7.57,59,18,302.7,325.6,304.1
00Z 23 May 1985,3,850.0,1295,17.4,14.4,83,12.28,72,33,304.4,341.2,306.6
00Z 23 May 1985,4,700.0,2909,5.6,1.5,75,6.13,105,71,308.6,327.8,309.8
00Z 23 May 1985,5,620.0,3890,0.0,-6.0,64,3.96,139,62,313.1,326.0,313.9
00Z 23 May 1985,6,500.0,5580,-8.7,NA,NA,NA,200,47,322.4,NA,322.4
00Z 23 May 1985,7,400.0,7280,-17.9,NA,NA,NA,220,108,331.6,NA,331.6
00Z 23 May 1985,8,300.0,9380,-29.1,NA,NA,NA,245,132,344.2,NA,344.2
00Z 23 May 1985,9,260.0,10377,-37.3,NA,NA,NA,235,65,346.6,NA,346.6
00Z 23 May 1985,10,250.0,10650,-39.5,NA,NA,NA,NA,NA,347.2,NA,347.2
00Z 23 May 1985,11,235.0,11070,-43.1,NA,NA,NA,NA,NA,347.9,NA,347.9
00Z 25 May 1985,0,1000.0
00Z 25 May 1985,1,990.0,20,25.4,21.9,81,17.03,360,4,299.4,349.3,302.5
00Z 25 May 1985,2,920.0,662,-27.5,-30.0,79,0.35,55,NA,251.6,252.6,251.6
00Z 25 May 1985,3,850.0,1355,25.2,20.2,74,17.88,115,NA,312.5,368.0,315.9
00Z 25 May 1985,4,700.0,3011,12.0,9.5,85,10.76,50,NA,315.7,349.7,317.8
00Z 25 May 1985,5,550.0,4985,0.0,-3.0,80,5.61,46,NA,324.0,342.7,325.1
00Z 25 May 1985,6,500.0,5740,-5.1,-7.9,81,4.24,45,315,326.8,341.2,327.6
00Z 25 May 1985,7,400.0,7470,-12.5,-16.6,71,2.63,40,116,338.6,348.2,339.2
00Z 25 May 1985,8,300.0,9610,-25.3,NA,NA,NA,40,NA,349.6,NA,349.6
00Z 25 May 1985,9,250.0,10910,-32.7,NA,NA,NA,50,315,357.3,NA,357.3
00Z 25 May 1985,10,200.0,12440,-45.9,NA,NA,NA,65,11,359.9,NA,359.9
00Z 25 May 1985,11,150.0,14320,-58.0,NA,NA,NA,125,17,369.9,NA,369.9
00Z 25 May 1985,12,100.0,16730,-80.5,NA,NA,NA,NA,NA,371.9,NA,371.9
00Z 26 May 1985,0,1000.0
00Z 26 May 1985,1,994.0,20,25.4,22.9,86,18.05,360,2,299.1,351.9,302.3
00Z 26 May 1985,2,962.1,304,24.6,21.3,82,16.92,350,9,301.0,351.0,304.1
00Z 26 May 1985,3,929.0,609,23.7,19.7,78,15.77,350,8,303.1,350.1,306.0
00Z 26 May 1985,4,897.1,914,22.8,18.0,74,14.68,350,6,305.2,349.4,307.9
