Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 11 Aug 1997, 41883, 970811/0000, 24.85, 89.36, 20.0, 0.70, -4.23, -4.65, 207.19, 36.40, 20.90, 21.10, 42.00, 1584.81, 1721.67, 0.00, 0.00, 147.95, 147.70, 967.08, 968.38, 753.88, 818.98, 296.71, 970.17, 299.32, 19.34, 5754.00, 64.23
 00Z 25 Aug 1997, 41883, 970825/0000, 24.85, 89.36, 20.0, -2.84, -5.50, -6.91, 253.00, 42.00, 22.30, 23.70, 46.00, 3018.42, 3322.95, -12.19, -9.70, 124.30, 123.93, 889.66, 892.28, 1245.90, 1371.60, 297.64, 936.67, 303.28, 21.27, 5830.00, 61.78
 00Z 02 Aug 1998, 41883, 980802/0000, 24.85, 89.36, 20.0, 1.17, -5.69, -6.32, 31.20, 18.60, 23.30, 41.90, 2456.66, 2723.83, 0.00, 0.00, 116.93, 114.54, 962.64, 964.22, 298.50, 964.88, 301.59, 21.73, 5815.00, 62.13
 00Z 17 Aug 1998, 41883, 980817/0000, 24.85, 89.36, 20.0, -2.28, -4.51, -5.07, 40.21, 21.81, 22.61, 44.42, 2592.53, 2755.26, 0.00, 0.00, 107.45, 107.40, 951.37, 957.05, 298.74, 969.87, 301.40, 21.91, 5764.85, 78.12
 00Z 09 Aug 2008, 41883, 080809/0000, 24.85, 89.36, 20.0, -3.92, -2.80, -3.13, 325.80, 44.04, 22.90, 22.90, 45.80, 1319.61, 1419.37, -56.35, -61.27, 140.78, 139.68, 776.61, 751.04, 48.72, 52.40, 297.11, 938.38, 302.60, 20.47, 5828.00, 82.48
 00Z 20 Aug 2008, 41883, 080820/0000, 24.85, 89.36, 20.0, -0.66, -1.78, -1.96, 268.99, 39.50, 20.70, 20.70, 41.40, 852.15, 916.13, 0.00, 0.00, 166.21, 165.69, 972.89, 972.80, 207.52, 223.10, 297.57, 973.77, 299.86, 20.29, 5790.00, 78.72
 00Z 27 Aug 2008, 41883, 080827/0000, 24.85, 89.36, 20.0, -2.63, -4.93, -5.41, 278.59, 40.50, 22.30, 22.30, 44.60, 2896.76, 3060.00, 0.00, 0.00, 113.18, 111.50, 975.19, 974.72, 182.39, 192.67, 299.16, 975.93, 301.28, 22.36, 5692.00, 79.22
 00Z 03 Aug 2009, 41883, 090803/0000, 24.85, 89.36, 20.0, -2.02, -2.31, -2.65, 259.40, 42.40, 20.90, 22.50, 43.40, 865.01, 965.37, -49.66, -47.18, 784.48, 794.16, 14234.46, 15885.92, 298.04, 958.78, 301.69, 21.21, 5839.00, 82.56
 00Z 10 Aug 2009, 41883, 090810/0000, 24.85, 89.36, 20.0, 1.00, -2.05, -2.78, 264.20, 39.20, 17.90, 20.60, 38.50, 2032.82, 2207.67, -5.50, -3.45, 120.82, 119.17, 872.61, 899.12, 1012.75, 1099.86, 298.87, 951.53, 303.18, 22.50, 5830.00, 81.91
 00Z 02 Aug 2010, 41883, 100802/0000, 24.85, 89.36, 20.0, -1.93, -3.65, -4.01, 265.78, 41.30, 21.70, 21.90, 43.60, 1841.41, 1963.61, 0.00, 0.00, 142.14, 141.41, 969.79, 969.98, 411.82, 439.15, 298.39, 973.64, 300.70, 21.35, 5791.00, 78.92
