Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 19 May 1986, VGTJ, 41923, 860519/0000, 23.76, 90.37, 9.0, -3.68, -5.85, -6.62, 267.79, 39.90, 23.50, 26.70, 50.20, 1249.02, 1430.01, -49.68, -44.39, 197.44, 197.01, 817.64, 836.46, 25.08, 28.71, 296.34, 962.97, 299.59, 19.14, 5781.00, 58.38
 00Z 24 May 1986, VGTJ, 41923, 860524/0000, 23.76, 90.37, 9.0, -2.92, -5.47, -6.23, 499.20, 35.90, 21.30, 29.30, 50.60, 1102.90, 1309.12, -162.53, -130.47, 781.87, 797.17, 3.47, 4.12, 293.54, 888.21, 303.68, 17.35, 5769.00, 48.39
 00Z 25 May 1986, VGTJ, 41923, 860525/0000, 23.76, 90.37, 9.0, -5.97, -8.44, -9.68, 40.59, 24.26, 31.78, 56.04, 2579.66, 2815.50, -211.15, -176.73, 167.93, 188.06, 764.07, 773.93, inf, inf, 295.83, 933.32, 301.74, 19.07, 5634.60, 49.59
 00Z 26 May 1986, VGTJ, 41923, 860526/0000, 23.76, 90.37, 9.0, -3.57, -0.18, -0.56, 248.66, 38.49, 22.29, 27.09, 49.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 293.07, 933.88, 298.87, 15.96, 5693.26, 57.64
 00Z 27 May 1986, VGTJ, 41923, 860527/0000, 23.76, 90.37, 9.0, -4.45, -5.18, -5.90, 310.80, 38.30, 22.90, 30.90, 53.80, 730.68, 837.82, -330.95, -287.06, 322.57, 324.57, 686.70, 699.16, 29.08, 33.35, 293.56, 923.60, 300.33, 16.66, 5818.00, 51.80
 00Z 28 May 1986, VGTJ, 41923, 860528/0000, 23.76, 90.37, 9.0, -1.85, -2.99, -3.32, 197.00, 35.90, 20.90, 27.90, 48.80, 329.32, 398.22, -238.96, -199.89, 436.54, 451.47, 687.78, 700.48, 85.55, 103.45, 293.85, 941.09, 299.01, 16.65, 5781.00, 49.86
 00Z 29 May 1986, VGTJ, 41923, 860529/0000, 23.76, 90.37, 9.0, -2.73, -5.99, -6.84, 227.40, 34.60, 22.20, 25.90, 48.10, 2673.31, 2909.91, -52.89, -38.53, 838.85, 858.02, 1433.50, 1560.37, 296.49, 935.91, 302.17, 19.76, 5806.00, 57.98
 00Z 04 May 1987, VGTJ, 41923, 870504/0000, 23.76, 90.37, 9.0, 3.72, -0.79, -1.09, 155.79, 23.68, 17.51, 24.51, 42.01, 198.53, 230.08, -0.19, 0.00, 360.75, 488.82, 945.21, 955.62, 5.31, 6.15, 291.93, 961.83, 295.22, 14.51, 5634.57, 38.80
 00Z 08 May 1987, VGTJ, 41923, 870508/0000, 23.76, 90.37, 9.0, -3.09, -3.99, -4.57, 262.99, 37.10, 23.60, 27.10, 50.70, 1099.75, 1217.91, -82.94, -63.22, 733.87, 761.57, 15.89, 17.60, 293.77, 958.86, 297.34, 16.25, 5756.00, 49.24
 00Z 09 May 1987, VGTJ, 41923, 870509/0000, 23.76, 90.37, 9.0, -5.52, -6.21, 107.10, 273.95, -134.47, -73.25, 738.14, 681.94, 293.00, 913.48, 300.69, 16.35, 22.78
 00Z 10 May 1987, VGTJ, 41923, 870510/0000, 23.76, 90.37, 9.0, 1.02, -6.14, -7.30, 18.95, 25.95, 44.90, 2083.53, 2409.88, -22.37, -10.62, 163.69, 199.32, 862.57, 893.53, 520.98, 602.59, 296.21, 958.53, 299.83, 18.99, 5617.63, 25.60
 00Z 17 May 1987, VGTJ, 41923, 870517/0000, 23.76, 90.37, 9.0, -2.76, 28.70, 29.11, 269.82, 41.40, 21.30, 28.30, 49.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 274.00, 929.03, 279.94, 8.51, 5797.00, 46.87
 00Z 18 May 1987, VGTJ, 41923, 870518/0000, 23.76, 90.37, 9.0, -2.00, -5.83, -6.75, 227.00, 37.90, 19.90, 27.90, 47.80, 1835.52, 2084.69, -113.26, -74.87, 786.37, 807.59, 275.23, 312.59, 297.66, 942.11, 302.80, 21.14, 5824.00, 58.64
 00Z 19 May 1987, VGTJ, 41923, 870519/0000, 23.76, 90.37, 9.0, 3.51, -7.11, -7.96, 246.50, 23.70, 12.30, 30.30, 42.60, 857.83, 1067.04, -165.67, -75.31, 759.95, 802.26, 29.33, 36.48, 296.60, 926.08, 303.21, 20.40, 5815.00, 45.26
 00Z 21 May 1987, VGTJ, 41923, 870521/0000, 23.76, 90.37, 9.0, 29.70, 302.46, 5839.00, 0.00
 00Z 24 May 1987, VGTJ, 41923, 870524/0000, 23.76, 90.37, 9.0, -7.24, -8.10, 9.43, 34.53, -158.28, -109.56, 736.24, 765.69, 298.03, 963.72, 301.22, 21.10, 44.93
 00Z 30 May 1987, VGTJ, 41923, 870530/0000, 23.76, 90.37, 9.0, 0.66, 2.21, 1.38, 202.60, 18.10, 25.10, 43.20, 2511.22, 2572.08, -621.00, -371.55, 245.19, 246.49, 490.89, 490.27, 543.25, 556.42, 289.75, 864.85, 302.05, 15.06, 5790.00, 20.59
 00Z 08 May 1988, VGTJ, 41923, 880508/0000, 23.76, 90.37, 9.0, -2.34, -5.55, -6.65, 247.10, 23.40, 21.40, 28.40, 49.80, 1264.43, 1500.86, -140.36, -83.45, 217.67, 231.23, 710.87, 780.05, 12.12, 14.38, 295.32, 945.44, 300.11, 18.17, 5613.84, 38.19
 00Z 11 May 1988, VGTJ, 41923, 880511/0000, 23.76, 90.37, 9.0, -11.55, -13.29, 849.32, 1015.61, 0.00, 0.00, 954.85, 955.95, 299.96, 965.78, 302.99, 23.70, 70.63
 00Z 15 May 1988, VGTJ, 41923, 880515/0000, 23.76, 90.37, 9.0, 3.24, 1.23, 0.92, 251.41, 28.30, 17.10, 22.10, 39.20, 1.56, 6.91, -626.44, -606.36, 550.48, 537.41, 571.53, 575.30, 0.03, 0.14, 292.82, 934.17, 298.60, 15.72, 5781.00, 65.54
 00Z 16 May 1988, VGTJ, 41923, 880516/0000, 23.76, 90.37, 9.0, -0.05, -2.25, -2.59, 277.50, 35.70, 20.10, 24.30, 44.40, 281.71, 360.35, -77.09, -52.81, 379.60, 380.27, 749.23, 779.60, 0.33, 0.42, 294.08, 932.91, 300.01, 17.06, 5804.00, 56.55
 00Z 17 May 1988, VGTJ, 41923, 880517/0000, 23.76, 90.37, 9.0, 0.46, 1.75, 1.31, 261.01, 34.30, 19.80, 20.90, 40.70, 0.00, 1.63, 0.00, -88.23, 676.41, 710.91, 0.00, 0.03, 294.09, 949.76, 298.49, 16.74, 5579.00, 60.05
 00Z 18 May 1988, VGTJ, 41923, 880518/0000, 23.76, 90.37, 9.0, 22.30, 300.69, 5801.97, 0.00
 00Z 19 May 1988, VGTJ, 41923, 880519/0000, 23.76, 90.37, 9.0, 1.20, -0.26, -1.44, 242.01, 30.00, 18.80, 20.50, 39.30, 381.03, 660.82, -37.85, -32.26, 132.98, 132.05, 832.01, 852.60, 26.09, 45.25, 296.08, 952.09, 300.29, 18.92, 5824.00, 43.61
 00Z 20 May 1988, VGTJ, 41923, 880520/0000, 23.76, 90.37, 9.0, 0.23, -1.63, -2.32, 290.81, 36.10, 19.50, 20.90, 40.40, 1101.25, 1299.77, -0.18, 0.00, 141.49, 139.91, 939.84, 947.23, 605.92, 715.15, 297.36, 959.58, 300.92, 20.37, 5812.00, 67.76
 00Z 21 May 1988, VGTJ, 41923, 880521/0000, 23.76, 90.37, 9.0, -2.01, -2.73, -3.21, 295.80, 41.30, 21.30, 22.70, 44.00, 1017.70, 924.49, -26.43, -19.31, 189.47, 286.69, 794.60, 812.72, 73.44, 66.71, 297.54, 959.09, 301.14, 20.56, 5755.00, 70.45
 00Z 23 May 1988, VGTJ, 41923, 880523/0000, 23.76, 90.37, 9.0, -2.17, -4.44, -5.37, 401.52, 36.40, 21.40, 23.90, 45.30, 2131.25, 2349.54, -19.61, -14.37, 101.81, 101.77, 843.28, 864.63, 15.55, 17.14, 298.30, 967.58, 301.14, 21.40, 5834.00, 67.53
 00Z 24 May 1988, VGTJ, 41923, 880524/0000, 23.76, 90.37, 9.0, -6.38, -5.55, -6.21, 604.29, 43.10, 25.20, 27.90, 53.10, 1129.14, 1278.55, -143.72, -132.92, 164.53, 162.02, 728.80, 742.19, 3.74, 4.24, 296.00, 937.52, 301.54, 19.12, 5803.00, 65.60
