Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 06 Apr 1987, VGTJ, 41923, 870406/0000, 23.76, 90.37, 9.0, -8.12, -9.14, -22.28, 5134.49, 5529.98, -69.98, -73.20, 897.31, 896.54, 64.09, 69.02, 293.87, 924.71, 300.55, 17.04, 5347.84, 18.37
 00Z 07 Apr 1987, VGTJ, 41923, 870407/0000, 23.76, 90.37, 9.0, -3.29, -7.50, -8.39, 289.41, 35.90, 21.70, 30.70, 52.40, 2816.66, 3061.93, -130.95, -96.43, 787.92, 807.04, 42.74, 46.46, 296.25, 955.91, 300.12, 19.04, 5775.00, 46.51
 00Z 09 Apr 1987, VGTJ, 41923, 870409/0000, 23.76, 90.37, 9.0, -0.97, -5.38, -6.55, 253.19, 21.60, 24.30, 45.90, 2207.27, 2562.01, -8.41, -4.06, 898.61, 916.04, 41.26, 47.89, 295.72, 943.70, 300.68, 18.69, 5770.00, 25.87
 00Z 11 Apr 1987, VGTJ, 41923, 870411/0000, 23.76, 90.37, 9.0, -3.52, -3.91, -4.37, 301.38, 39.90, 22.50, 29.50, 52.00, 1223.27, 1326.81, -195.18, -168.38, 226.94, 226.89, 735.06, 746.32, 20.36, 22.08, 293.85, 949.05, 298.31, 16.51, 5767.00, 51.62
 00Z 12 Apr 1987, VGTJ, 41923, 870412/0000, 23.76, 90.37, 9.0, -8.17, -8.99, 847.78, 979.24, -129.67, -102.54, 803.03, 813.74, 296.20, 939.24, 301.58, 19.36, 53.25
 00Z 15 Apr 1987, VGTJ, 41923, 870415/0000, 23.76, 90.37, 9.0, -18.02, 238.75, 5062.73, 0.00
 00Z 16 Apr 1987, VGTJ, 41923, 870416/0000, 23.76, 90.37, 9.0, -2.89, -10.44, -11.34, 285.19, 31.82, 21.50, 32.50, 54.00, 3202.82, 3462.11, -109.30, -65.45, 807.41, 836.09, 288.93, 312.32, 296.09, 959.79, 299.60, 18.83, 5733.00, 41.45
 00Z 17 Apr 1987, VGTJ, 41923, 870417/0000, 23.76, 90.37, 9.0, -3.94, -10.32, -11.49, 299.22, 22.90, 31.90, 54.80, 5031.09, 5370.71, -107.27, -81.05, 849.75, 849.93, 294.34, 904.48, 302.93, 17.92, 5747.00, 24.23
 00Z 18 Apr 1987, VGTJ, 41923, 870418/0000, 23.76, 90.37, 9.0, -7.91, -0.06, -0.33, 580.29, 44.10, 26.30, 33.30, 59.60, 0.67, 9.93, -852.13, -853.57, 462.91, 445.98, 502.28, 513.06, 0.01, 0.14, 288.14, 900.93, 296.92, 15.35, 5776.00, 50.42
 00Z 19 Apr 1987, VGTJ, 41923, 870419/0000, 23.76, 90.37, 9.0, -4.02, -9.15, -9.87, 299.81, 36.10, 22.70, 33.70, 56.40, 2240.33, 2404.48, -152.29, -101.58, 756.13, 779.47, 167.88, 180.19, 293.75, 942.35, 298.80, 16.58, 5721.00, 41.31
 00Z 23 Apr 1987, VGTJ, 41923, 870423/0000, 23.76, 90.37, 9.0, -10.20, -11.10, 326.39, 488.35, 0.00, 0.00, 954.91, 959.86, 296.71, 965.28, 299.74, 19.41, 27.04
