Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 08 Jul 1992, 41977, 920708/0000, 22.35, 91.80, 34.0, 1.51, -0.38, -0.66, 221.38, 33.30, 19.50, 20.30, 39.80, 129.24, 213.77, -4.97, -2.76, 344.82, 353.10, 906.24, 920.04, 0.23, 0.38, 295.23, 961.56, 298.57, 17.77, 5721.00, 62.20
 00Z 15 Jul 1992, 41977, 920715/0000, 22.35, 91.80, 34.0, -2.21, -3.11, -3.64, 237.19, 39.00, 22.20, 23.30, 45.50, 375.07, 468.86, -17.28, -11.59, 800.09, 849.60, 41.95, 52.44, 296.27, 956.53, 300.07, 19.06, 5777.00, 64.59
 00Z 18 Jul 1992, 41977, 920718/0000, 22.35, 91.80, 34.0, 1.13, -1.85, -2.22, 258.22, 34.80, 19.60, 21.10, 40.70, 877.64, 1000.94, -9.54, -5.79, 169.61, 167.89, 892.15, 905.40, 212.99, 242.91, 295.21, 938.88, 300.59, 18.18, 5746.00, 61.97
 00Z 22 Jul 1992, 41977, 920722/0000, 22.35, 91.80, 34.0, -0.97, -4.86, -5.40, 261.20, 37.70, 21.70, 22.70, 44.40, 1608.22, 1758.72, -1.22, -0.37, 932.78, 942.25, 38.13, 41.70, 296.82, 958.45, 300.46, 19.69, 5752.00, 67.15
 00Z 25 Jul 1992, 41977, 920725/0000, 22.35, 91.80, 34.0, 2.80, -4.25, -4.83, 219.18, 32.60, 19.30, 20.50, 39.80, 2434.00, 2622.75, -1.12, -0.63, 140.24, 140.04, 931.03, 934.90, 87.76, 94.56, 295.89, 953.91, 299.93, 18.65, 5713.00, 54.68
 00Z 30 Jul 1992, 41977, 920730/0000, 22.35, 91.80, 34.0, -0.08, -3.26, -3.67, 182.60, 34.50, 21.80, 24.90, 46.70, 316.49, 410.46, -8.21, -2.98, 303.77, 299.96, 864.44, 902.82, 34.36, 44.57, 293.07, 958.65, 296.64, 15.57, 5690.00, 51.28
 00Z 02 Jul 1993, 41977, 930702/0000, 22.35, 91.80, 34.0, 1.24, -1.62, -1.95, 233.60, 34.10, 19.30, 21.50, 40.80, 152.81, 243.05, -12.27, -7.09, 233.10, 233.02, 876.27, 895.92, 26.21, 41.68, 295.27, 944.39, 300.15, 18.14, 5826.00, 62.00
 00Z 03 Jul 1993, 41977, 930703/0000, 22.35, 91.80, 34.0, 1.46, -2.46, -3.65, 232.82, 35.70, 18.70, 22.10, 40.80, 925.57, 1232.92, -17.97, -9.64, 157.16, 156.86, 868.05, 893.08, 195.34, 260.20, 295.81, 941.20, 300.99, 18.84, 5770.00, 43.21
 00Z 04 Jul 1993, 41977, 930704/0000, 22.35, 91.80, 34.0, -0.89, -1.41, -2.05, 268.02, 38.00, 20.80, 22.70, 43.50, 302.09, 423.46, -69.60, -55.73, 307.97, 307.12, 722.87, 751.55, 18.92, 26.52, 294.75, 930.90, 300.86, 17.81, 5765.00, 60.94
 00Z 06 Jul 1993, 41977, 930706/0000, 22.35, 91.80, 34.0, -1.35, -3.84, -4.61, 255.20, 36.00, 21.00, 22.90, 43.90, 1664.21, 1882.16, -6.05, -2.65, 885.19, 911.13, 96.16, 108.75, 297.53, 956.85, 301.32, 20.60, 5836.00, 63.88
 00Z 08 Jul 1993, 41977, 930708/0000, 22.35, 91.80, 34.0, 0.63, -0.87, -1.11, 233.22, 33.70, 20.10, 22.10, 42.20, 83.02, 126.61, -60.47, -29.55, 372.26, 378.41, 645.50, 679.74, 16.01, 24.42, 293.63, 930.60, 299.75, 16.60, 5648.00, 60.74
 00Z 10 Jul 1993, 41977, 930710/0000, 22.35, 91.80, 34.0, 0.75, -0.98, -1.35, 245.20, 31.90, 19.70, 21.30, 41.00, 103.27, 159.46, -20.62, -15.51, 191.97, 191.55, 853.79, 869.95, 1.03, 1.59, 295.17, 945.91, 299.91, 17.98, 5780.00, 61.74
 00Z 12 Jul 1993, 41977, 930712/0000, 22.35, 91.80, 34.0, -0.56, -2.27, -2.89, 272.21, 36.80, 20.30, 22.50, 42.80, 603.38, 731.46, -31.78, -20.53, 787.24, 842.32, 15.48, 18.77, 296.32, 947.80, 300.91, 19.29, 5777.00, 62.69
 00Z 13 Jul 1993, 41977, 930713/0000, 22.35, 91.80, 34.0, -3.77, -5.81, -6.57, 281.42, 39.00, 24.20, 24.70, 48.90, 2410.73, 2602.14, -5.78, -4.37, 133.31, 133.26, 902.31, 909.77, 363.38, 392.24, 296.42, 955.17, 300.35, 19.25, 5734.00, 58.60
 00Z 14 Jul 1993, 41977, 930714/0000, 22.35, 91.80, 34.0, 1.35, 0.13, -0.33, 238.42, 33.40, 19.10, 21.10, 40.20, 52.32, 106.85, -104.91, -41.92, 482.13, 774.26, 6.02, 12.29, 293.74, 923.48, 300.52, 16.85, 5772.00, 57.80
 00Z 16 Jul 1993, 41977, 930716/0000, 22.35, 91.80, 34.0, 4.20, 1.92, 2.07, 32.90, 16.90, 19.30, 36.20, 75.27, 99.98, -13.31, -6.55, 591.95, 597.72, 841.11, 880.37, 294.17, 958.20, 297.80, 16.68, 5738.00, 55.43
 00Z 17 Jul 1993, 41977, 930717/0000, 22.35, 91.80, 34.0, 1.23, -1.40, -1.98, 216.93, 32.72, 19.71, 22.61, 42.32, 638.62, 766.63, -22.12, -12.62, 255.33, 255.51, 831.19, 865.79, 23.34, 28.02, 294.02, 948.80, 298.49, 16.69, 5732.00, 51.47
 00Z 18 Jul 1993, 41977, 930718/0000, 22.35, 91.80, 34.0, 0.39, -1.79, -2.21, 218.99, 35.00, 20.10, 24.10, 44.20, 175.47, 230.07, -70.47, -41.87, 340.32, 346.51, 687.65, 741.41, 17.51, 22.96, 294.15, 955.74, 298.00, 16.70, 5750.00, 56.02
 00Z 20 Jul 1993, 41977, 930720/0000, 22.35, 91.80, 34.0, 19.35, 2.00, 1.93, 66.00, 7.14, 4.30, 11.30, 15.60, 3180.32, 3354.43, 0.00, 0.00, 285.52, 285.50, 945.37, 945.37, 56.35, 59.44, 293.77, 945.37, 298.53, 16.65, 5817.05, 41.77
 00Z 21 Jul 1993, 41977, 930721/0000, 22.35, 91.80, 34.0, -1.98, -2.38, 187.15, 294.01, -11.63, -2.95, 878.78, 918.52, 296.26, 944.40, 301.16, 19.35, 44.40
 00Z 22 Jul 1993, 41977, 930722/0000, 22.35, 91.80, 34.0, -0.07, -0.31, 31.76, 41.73, -38.50, -35.29, 793.13, 801.51, 295.66, 961.29, 299.03, 18.24, 46.05
 00Z 23 Jul 1993, 41977, 930723/0000, 22.35, 91.80, 34.0, -3.19, -2.41, -2.77, 291.01, 42.70, 22.70, 22.90, 45.60, 606.27, 692.81, -19.15, -21.38, 198.88, 198.80, 800.31, 802.19, 8.32, 9.51, 297.30, 972.59, 299.68, 19.95, 5846.00, 75.66
 00Z 24 Jul 1993, 41977, 930724/0000, 22.35, 91.80, 34.0, -1.53, -1.81, 5749.32, 6001.10, 0.00, 0.00, 956.95, 959.70, 296.64, 969.95, 299.26, 19.22, 33.82
 00Z 25 Jul 1993, 41977, 930725/0000, 22.35, 91.80, 34.0, -1.45, -1.72, 221.24, 306.26, -1.21, -0.22, 926.23, 938.22, 296.04, 954.50, 300.02, 18.84, 48.11
 00Z 26 Jul 1993, 41977, 930726/0000, 22.35, 91.80, 34.0, 0.44, -2.69, -3.05, 269.40, 33.20, 20.20, 22.30, 42.50, 1181.98, 1313.90, -9.38, -6.40, 170.23, 169.54, 887.46, 902.47, 64.68, 71.89, 295.58, 951.87, 299.80, 18.35, 5759.00, 60.52
 00Z 27 Jul 1993, 41977, 930727/0000, 22.35, 91.80, 34.0, 0.46, -2.88, -3.47, 238.40, 33.30, 19.90, 22.10, 42.00, 1900.56, 2075.09, -3.65, -1.34, 180.51, 179.00, 904.51, 923.37, 53.15, 58.03, 296.36, 955.92, 300.22, 19.18, 5836.00, 60.17
