Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 19 Mar 1992, 41977, 920319/0000, 22.35, 91.80, 34.0, -0.64, -1.01, -1.28, 210.21, 32.90, 23.90, 23.90, 47.80, 510.41, 587.52, -6.14, -7.01, 257.73, 257.74, 881.53, 880.54, 1.18, 1.36, 291.13, 971.88, 293.53, 13.80, 5622.00, 40.70
 00Z 20 Mar 1992, 41977, 920320/0000, 22.35, 91.80, 34.0, 5.28, -1.90, -2.48, 106.21, 10.50, 14.90, 25.90, 40.80, 452.12, 586.56, -167.77, -71.96, 257.61, 257.75, 685.68, 730.95, 7.14, 9.26, 291.75, 958.69, 295.30, 14.34, 5679.00, 23.37
 00Z 22 Mar 1992, 41977, 920322/0000, 22.35, 91.80, 34.0, -3.00, -3.00, -3.47, 259.60, 30.90, 25.10, 25.10, 50.20, 551.87, 627.06, -94.62, -56.53, 312.49, 312.34, 618.45, 631.02, 8.61, 9.78, 293.28, 981.25, 294.89, 15.39, 5697.00, 45.79
 00Z 23 Mar 1992, 41977, 920323/0000, 22.35, 91.80, 34.0, 4.29, -2.15, -2.89, 109.21, 21.20, 12.60, 29.60, 42.20, 1194.32, 1362.52, -282.56, -196.88, 221.22, 221.04, 684.46, 719.63, 11.62, 13.25, 292.42, 951.48, 296.62, 15.10, 5706.00, 25.52
 00Z 24 Mar 1992, 41977, 920324/0000, 22.35, 91.80, 34.0, 10.45, -3.13, -3.96, 68.01, 9.50, -0.50, 29.50, 29.00, 1413.93, 1626.92, -145.16, -1.14, 210.23, 210.11, 729.92, 933.59, 14.93, 17.18, 293.50, 955.87, 297.32, 16.10, 5616.00, 22.64
 00Z 25 Mar 1992, 41977, 920325/0000, 22.35, 91.80, 34.0, -5.34, -3.73, -4.29, 366.22, 38.40, 25.40, 29.30, 54.70, 1266.00, 1373.58, -182.09, -162.78, 225.43, 225.20, 690.63, 712.60, 26.68, 28.94, 293.28, 969.56, 295.90, 15.57, 5698.00, 46.21
 00Z 26 Mar 1992, 41977, 920326/0000, 22.35, 91.80, 34.0, 0.71, -2.70, -3.25, 202.81, 27.70, 20.50, 25.30, 45.80, 921.62, 1063.39, -33.75, -8.90, 213.31, 213.09, 746.67, 818.23, 15.50, 17.89, 293.39, 969.84, 295.99, 15.71, 5691.00, 40.33
 00Z 27 Mar 1992, 41977, 920327/0000, 22.35, 91.80, 34.0, 2.43, 5.27, 5.03, 250.00, 29.90, 17.90, 23.90, 41.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 290.45, 967.81, 293.21, 14.56, 5746.00, 42.30
 00Z 28 Mar 1992, 41977, 920328/0000, 22.35, 91.80, 34.0, 11.23, 0.41, -0.36, 68.01, 4.70, 24.70, 29.40, 461.14, 588.77, -253.25, -64.55, 487.26, 646.29, 7.69, 9.82, 292.09, 937.55, 297.54, 15.09, 5743.00, 15.90
 00Z 29 Mar 1992, 41977, 920329/0000, 22.35, 91.80, 34.0, 4.35, -4.92, -5.89, 142.60, 14.30, 27.30, 41.60, 1621.93, 1940.81, -70.20, -14.66, 181.68, 181.24, 761.25, 834.29, 21.69, 25.96, 294.39, 949.81, 298.78, 17.23, 5730.00, 20.91
 00Z 30 Mar 1992, 41977, 920330/0000, 22.35, 91.80, 34.0, -8.37, -9.43, 30.90, 2179.47, 2589.37, -55.55, 0.00, 778.92, 991.62, 49.25, 58.51, 296.68, 991.62, 297.41, 18.37, 5720.00, 0.75
 00Z 01 Mar 1993, 41977, 930301/0000, 22.35, 91.80, 34.0, 2.97, 2.11, 1.71, 117.80, 21.30, 14.90, 29.90, 44.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.23, 888.47, 296.09, 10.79, 5678.00, 25.80
