Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 08 Sep 1993, 41977, 930908/0000, 22.35, 91.80, 34.0, -1.94, -2.44, -2.88, 268.40, 37.60, 22.20, 23.10, 45.30, 840.05, 952.81, -23.38, -17.37, 144.43, 144.02, 775.62, 814.42, 113.66, 128.91, 295.58, 956.21, 299.42, 18.26, 5715.00, 63.38
 00Z 09 Sep 1993, 41977, 930909/0000, 22.35, 91.80, 34.0, -0.20, -0.74, -1.00, 228.42, 35.10, 21.90, 22.30, 44.20, 92.16, 143.49, -5.01, -3.28, 361.06, 368.00, 870.93, 882.42, 17.65, 27.49, 293.53, 966.35, 296.44, 15.88, 5809.00, 54.86
 00Z 10 Sep 1993, 41977, 930910/0000, 22.35, 91.80, 34.0, -2.08, -4.55, -5.08, 211.21, 38.00, 23.10, 24.50, 47.60, 1052.16, 1183.90, -0.02, 0.00, 175.76, 173.82, 948.44, 955.99, 2051.91, 2308.82, 295.60, 972.05, 298.02, 17.98, 5723.00, 57.77
 00Z 12 Sep 1993, 41977, 930912/0000, 22.35, 91.80, 34.0, -1.25, -0.01, -0.16, 291.99, 39.50, 21.50, 22.10, 43.60, 67.18, 86.31, -42.18, -44.55, 343.49, 353.33, 770.73, 771.13, 1.20, 1.54, 295.30, 973.05, 297.64, 17.61, 5750.00, 73.81
 00Z 13 Sep 1993, 41977, 930913/0000, 22.35, 91.80, 34.0, 3.05, 0.27, -0.11, 234.61, 34.20, 17.20, 20.50, 37.70, 426.62, 509.68, -26.18, -12.20, 168.39, 167.18, 793.04, 859.20, 19.06, 22.77, 295.22, 948.20, 299.78, 18.03, 5746.00, 63.30
 00Z 15 Sep 1993, 41977, 930915/0000, 22.35, 91.80, 34.0, -0.17, 1.16, 0.97, 223.99, 35.60, 20.90, 22.50, 43.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 292.98, 953.45, 297.03, 15.55, 5741.00, 58.90
 00Z 17 Sep 1993, 41977, 930917/0000, 22.35, 91.80, 34.0, 0.22, -2.28, -2.57, 193.80, 35.40, 20.60, 22.90, 43.50, 733.39, 848.77, -5.96, -1.96, 182.41, 181.40, 870.78, 908.66, 369.57, 427.72, 295.18, 965.14, 298.21, 17.66, 5746.00, 57.61
 00Z 20 Sep 1993, 41977, 930920/0000, 22.35, 91.80, 34.0, -13.70, 40.88, 41.12, 668.59, 51.70, 34.70, 34.90, 69.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 256.24, 969.88, 258.55, 1.68, 5724.00, 43.78
 00Z 21 Sep 1993, 41977, 930921/0000, 22.35, 91.80, 34.0, -1.98, 31.55, 32.32, 242.79, 40.20, 22.30, 22.30, 44.60, 1.30, 1.37, 0.00, 0.00, 944.15, 944.23, 970.64, 970.64, 0.08, 0.09, 275.58, 970.64, 277.95, 5.05, 5745.00, 55.85
 00Z 23 Sep 1993, 41977, 930923/0000, 22.35, 91.80, 34.0, 0.22, -2.90, -3.48, 255.40, 36.80, 20.80, 22.10, 42.90, 941.35, 1074.52, 0.00, 0.00, 199.38, 198.68, 969.36, 970.67, 31.09, 35.49, 296.21, 976.10, 298.29, 18.61, 5736.00, 60.81
 00Z 24 Sep 1993, 41977, 930924/0000, 22.35, 91.80, 34.0, -2.07, -2.45, -2.71, 39.60, 22.60, 23.10, 45.70, 188.80, 214.63, -48.22, -44.57, 659.93, 660.81, 54.12, 61.52, 295.92, 975.95, 298.01, 18.26, 5741.00, 64.28
 00Z 26 Sep 1993, 41977, 930926/0000, 22.35, 91.80, 34.0, 1.11, -1.27, -1.77, 203.00, 33.50, 19.90, 21.90, 41.80, 484.82, 611.74, -6.85, -3.69, 258.69, 258.53, 879.69, 902.02, 84.91, 107.14, 294.97, 966.39, 297.89, 17.40, 5720.00, 54.51
 00Z 28 Sep 1993, 41977, 930928/0000, 22.35, 91.80, 34.0, 0.04, -0.95, -1.23, 219.80, 33.60, 20.50, 23.10, 43.60, 120.05, 187.51, -65.61, -44.45, 327.76, 337.27, 705.74, 756.39, 5.75, 8.98, 294.11, 951.86, 298.31, 16.73, 5741.00, 56.62
 00Z 29 Sep 1993, 41977, 930929/0000, 22.35, 91.80, 34.0, 1.03, -2.03, -2.51, 216.01, 35.40, 19.50, 22.50, 42.00, 1757.99, 1906.45, -9.10, -3.09, 188.12, 187.04, 853.33, 900.99, 149.21, 161.81, 295.59, 963.70, 298.76, 18.14, 5747.00, 57.09
 00Z 30 Sep 1993, 41977, 930930/0000, 22.35, 91.80, 34.0, -0.57, -3.02, -3.42, 227.00, 35.90, 21.30, 22.90, 44.20, 1075.09, 1200.84, -3.70, -1.61, 904.03, 920.62, 102.47, 114.46, 295.74, 964.32, 298.85, 18.29, 5740.00, 60.63
 00Z 01 Sep 1994, 41977, 940901/0000, 22.35, 91.80, 34.0, 3.81, 2.19, 2.08, 233.99, 34.00, 16.10, 19.00, 35.10, 614.10, 691.60, -42.35, -28.74, 149.79, 149.72, 807.73, 823.44, 242.94, 273.60, 295.10, 938.49, 300.53, 18.09, 15789.00, 63.86
 00Z 02 Sep 1994, 41977, 940902/0000, 22.35, 91.80, 34.0, 0.35, -1.05, -1.31, 698.00, 36.60, 20.10, 22.30, 42.40, 315.33, 386.22, -26.12, -16.20, 187.52, 186.54, 798.56, 821.50, 0.72, 0.88, 295.36, 967.37, 298.21, 17.81, 5743.00, 62.11
 00Z 05 Sep 1994, 41977, 940905/0000, 22.35, 91.80, 34.0, -0.61, -2.46, -2.79, 214.79, 34.80, 20.70, 23.30, 44.00, 711.92, 800.41, -91.32, -49.94, 195.01, 194.39, 644.88, 665.51, 57.19, 64.29, 295.44, 948.38, 299.97, 18.26, 5777.00, 62.48
 00Z 07 Sep 1994, 41977, 940907/0000, 22.35, 91.80, 34.0, -2.65, -5.98, -6.71, 231.99, 38.30, 22.90, 23.50, 46.40, 2755.32, 2955.97, -46.60, -55.80, 128.79, 126.82, 876.58, 876.87, 443.72, 476.04, 298.38, 978.67, 300.26, 21.23, 5761.00, 70.76
