Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 03 Aug 1993, 41977, 930803/0000, 22.35, 91.80, 34.0, -0.39, 227.78, 35.80, 21.30, 22.10, 43.40, 0.00, 0.00, 5848.00, 5848.00
 00Z 04 Aug 1993, 41977, 930804/0000, 22.35, 91.80, 34.0, -7.33, -1.06, -1.34, 380.00, 47.50, 25.70, 26.70, 52.40, 166.56, 203.83, -232.93, -259.02, 216.23, 216.39, 714.95, 717.11, 3417.32, 4181.97, 295.15, 954.35, 299.15, 17.81, 5754.00, 74.43
 00Z 07 Aug 1993, 41977, 930807/0000, 22.35, 91.80, 34.0, 0.40, -2.40, -2.75, 249.39, 34.40, 19.60, 22.10, 41.70, 851.99, 981.00, -10.77, -5.14, 207.62, 207.95, 867.19, 897.90, 29.00, 33.39, 296.67, 958.66, 300.29, 19.50, 5789.00, 66.59
 00Z 08 Aug 1993, 41977, 930808/0000, 22.35, 91.80, 34.0, -0.94, -0.35, -0.38, 298.20, 39.30, 20.70, 20.70, 41.40, 332.59, 384.90, -14.07, -15.36, 329.28, 339.04, 828.06, 827.10, 113.15, 130.94, 296.84, 968.04, 299.64, 19.50, 5768.00, 75.13
 00Z 11 Aug 1993, 41977, 930811/0000, 22.35, 91.80, 34.0, 1.69, 272.60, 35.10, 18.40, 20.10, 38.50, 0.00, 0.00, 5779.00, 5779.00
 00Z 12 Aug 1993, 41977, 930812/0000, 22.35, 91.80, 34.0, -2.63, 0.14, -0.03, 312.58, 40.50, 22.30, 22.30, 44.60, 0.00, 0.07, 0.00, -296.96, 496.41, 500.27, 0.00, 0.01, 295.91, 975.24, 298.06, 18.24, 5797.00, 74.19
 00Z 13 Aug 1993, 41977, 930813/0000, 22.35, 91.80, 34.0, -1.15, 0.26, -0.41, 305.99, 37.30, 20.50, 21.10, 41.60, 258.62, 324.73, -252.27, -200.37, 196.45, 195.89, 484.51, 540.50, 7.31, 9.18, 296.02, 945.52, 300.82, 18.98, 5802.00, 68.44
 00Z 14 Aug 1993, 41977, 930814/0000, 22.35, 91.80, 34.0, 1.48, -0.91, -1.93, 240.82, 34.20, 18.60, 21.70, 40.30, 372.06, 527.11, -52.07, -18.12, 226.14, 226.34, 657.63, 794.45, 59.12, 83.76, 295.22, 941.62, 300.35, 18.14, 5712.00, 55.01
 00Z 16 Aug 1993, 41977, 930816/0000, 22.35, 91.80, 34.0, -2.91, -3.51, -4.16, 468.99, 38.50, 22.70, 23.30, 46.00, 1176.32, 1333.87, -8.95, -6.41, 219.34, 219.61, 848.87, 864.39, 128.46, 145.67, 296.90, 959.75, 300.42, 19.74, 5826.00, 65.35
 00Z 17 Aug 1993, 41977, 930817/0000, 22.35, 91.80, 34.0, 1.02, 0.36, 0.00, 258.99, 34.10, 19.70, 20.30, 40.00, 22.38, 72.94, -8.04, -5.78, 564.53, 501.00, 854.98, 869.95, 4.59, 14.96, 295.18, 962.27, 298.47, 17.69, 5766.00, 61.45
 00Z 18 Aug 1993, 41977, 930818/0000, 22.35, 91.80, 34.0, 0.35, 0.01, -0.25, 235.59, 35.80, 20.00, 21.10, 41.10, 0.00, 14.79, 0.00, -83.93, 478.51, 576.34, 0.00, 2.82, 295.07, 953.40, 299.13, 17.72, 5795.00, 63.91
 00Z 19 Aug 1993, 41977, 930819/0000, 22.35, 91.80, 34.0, 2.09, -1.04, -1.14, 289.39, 35.50, 19.30, 19.30, 38.60, 730.01, 814.47, 0.00, 0.00, 237.44, 236.10, 974.32, 972.86, 9.95, 11.10, 296.26, 975.05, 298.44, 18.69, 5746.00, 66.96
 00Z 22 Aug 1993, 41977, 930822/0000, 22.35, 91.80, 34.0, -1.23, -0.84, -1.16, 294.00, 40.30, 20.50, 21.30, 41.80, 102.64, 149.31, -122.06, -120.23, 99.40, 99.28, 576.56, 574.70, 3.01, 4.38, 297.62, 970.45, 300.21, 20.41, 5823.00, 81.09
 00Z 24 Aug 1993, 41977, 930824/0000, 22.35, 91.80, 34.0, -1.81, -2.81, -3.23, 276.19, 38.50, 21.70, 22.50, 44.20, 954.39, 1066.96, -7.25, -4.65, 150.61, 150.50, 865.60, 883.21, 296.82, 959.40, 300.39, 19.67, 5836.00, 71.00
 00Z 27 Aug 1993, 41977, 930827/0000, 22.35, 91.80, 34.0, -0.02, -0.51, -0.78, 679.61, 38.50, 20.10, 21.30, 41.40, 303.70, 353.25, -61.32, -53.76, 198.30, 198.19, 618.71, 614.62, 2.28, 2.65, 296.18, 968.10, 298.97, 18.72, 5785.00, 72.21
