Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 09 Jun 1996, 41977, 960609/0000, 22.35, 91.80, 34.0, 5.46, -5.94, -6.57, 138.81, 27.50, 17.10, 20.30, 37.40, 1748.68, 1975.26, 0.00, 0.00, 162.47, 161.18, 949.22, 949.22, 220.04, 248.56, 296.16, 949.22, 300.62, 19.18, 5833.00, 54.58
 00Z 10 Jun 1996, 41977, 960610/0000, 22.35, 91.80, 34.0, -1.08, -1.45, -1.68, 222.81, 36.00, 21.90, 22.90, 44.80, 332.44, 376.52, -73.19, -51.66, 308.31, 309.40, 644.65, 657.49, 108.64, 123.05, 293.36, 930.43, 299.48, 16.35, 5751.00, 60.52
 00Z 11 Jun 1996, 41977, 960611/0000, 22.35, 91.80, 34.0, -6.33, -8.28, -9.08, 337.61, 42.30, 26.40, 27.10, 53.50, 9.27, 15.97, -1.45, -0.61, 475.03, 475.71, 924.33, 933.77, 297.37, 966.26, 300.33, 20.20, 5748.00, 78.34
 00Z 12 Jun 1996, 41977, 960612/0000, 22.35, 91.80, 34.0, -4.53, -6.21, -6.92, 273.61, 34.60, 24.60, 25.30, 49.90, 2177.93, 2401.68, 0.00, 0.00, 146.21, 145.86, 966.52, 967.76, 836.09, 921.99, 297.54, 976.01, 299.64, 20.20, 5806.00, 59.66
 00Z 13 Jun 1996, 41977, 960613/0000, 22.35, 91.80, 34.0, -3.44, -4.51, -5.06, 260.82, 39.00, 23.60, 24.50, 48.10, 1462.38, 1608.85, -5.48, -3.15, 191.51, 190.96, 868.28, 890.48, 236.02, 259.66, 296.45, 965.03, 299.51, 19.10, 5757.00, 63.06
 00Z 16 Jun 1996, 41977, 960616/0000, 22.35, 91.80, 34.0, 0.23, 148.05, 148.53, 223.97, 36.60, 20.50, 22.10, 42.60, 0.00, 0.00, 0.00, 0.00, 379.56, 43493.32, 125.96, 20.13, 5716.00, 61.25
 00Z 19 Jun 1996, 41977, 960619/0000, 22.35, 91.80, 34.0, -0.45, -1.38, -1.50, 270.61, 36.90, 20.50, 20.70, 41.20, 268.42, 326.92, -15.84, -13.03, 244.77, 243.72, 868.08, 872.94, 32.45, 39.52, 295.37, 920.07, 302.52, 18.74, 15719.00, 73.13
 00Z 20 Jun 1996, 41977, 960620/0000, 22.35, 91.80, 34.0, -0.66, -0.94, -2.14, 268.00, 39.70, 20.70, 20.70, 41.40, 214.02, 477.23, -12.96, -11.43, 862.68, 865.25, 24.13, 53.81, 295.75, 938.06, 301.24, 18.82, 15759.00, 47.84
 00Z 21 Jun 1996, 41977, 960621/0000, 22.35, 91.80, 34.0, 1.10, -5.38, -5.81, 220.81, 36.10, 20.70, 20.70, 41.40, 1957.48, 2106.74, 0.00, 0.00, 949.68, 951.54, 130.21, 140.14, 296.87, 954.01, 300.92, 19.90, 15699.00, 65.26
 00Z 25 Jun 1996, 41977, 960625/0000, 22.35, 91.80, 34.0, -0.70, -4.84, -5.40, 289.78, 38.90, 21.50, 21.50, 43.00, 2069.66, 2237.87, -0.09, 0.00, 144.47, 143.58, 937.93, 942.45, 109.17, 118.05, 297.26, 952.80, 301.43, 20.38, 5706.00, 69.28
 00Z 27 Jun 1996, 41977, 960627/0000, 22.35, 91.80, 34.0, 0.20, -1.30, -1.46, 270.19, 37.90, 20.50, 20.50, 41.00, 311.19, 354.51, 0.00, 0.00, 246.04, 245.36, 962.25, 964.77, 70.88, 80.75, 296.48, 973.08, 298.81, 18.96, 5775.00, 73.36
 00Z 28 Jun 1996, 41977, 960628/0000, 22.35, 91.80, 34.0, -0.30, -8.03, -9.36, 213.59, 22.30, 22.50, 44.80, 4193.60, 4668.37, 0.00, 0.00, 123.22, 122.13, 958.71, 960.38, 719.95, 801.46, 297.44, 961.84, 300.79, 20.44, 5702.00, 26.89
 00Z 29 Jun 1996, 41977, 960629/0000, 22.35, 91.80, 34.0, 16.27, -1.16, -1.37, 258.12, 15.60, 10.30, 10.30, 20.60, 488.02, 567.50, 0.00, 0.00, 437.01, 434.57, 947.17, 947.17, 0.84, 0.98, 294.82, 947.17, 299.44, 17.85, 15749.00, 62.35
 00Z 04 Jun 1997, 41977, 970604/0000, 22.35, 91.81, 34.0, -1.60, 3.40, 3.54, 287.22, 38.40, 20.10, 22.80, 42.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.32, 944.97, 299.17, 19.48, 5839.00, 78.16
 00Z 07 Jun 1997, 41977, 970607/0000, 22.35, 91.81, 34.0, -4.62, -4.39, -5.54, 280.81, 24.10, 26.10, 50.20, 4717.76, 5149.81, -38.56, -36.42, 171.45, 169.93, 849.36, 849.41, 1794.42, 1958.75, 296.15, 958.58, 299.78, 18.87, 5753.00, 27.65
 00Z 09 Jun 1997, 41977, 970609/0000, 22.35, 91.81, 34.0, 3.12, 6.45, 6.66, 179.00, 27.70, 15.70, 24.70, 40.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.58, 930.89, 295.60, 12.81, 5763.00, 50.97
 00Z 12 Jun 1997, 41977, 970612/0000, 22.35, 91.81, 34.0, -2.54, -4.96, -5.36, 242.00, 39.30, 22.90, 25.30, 48.20, 1071.27, 1184.56, -13.94, -7.17, 193.05, 192.27, 848.05, 881.01, 170.08, 188.07, 295.53, 952.87, 299.67, 18.29, 5743.00, 62.53
 00Z 15 Jun 1997, 41977, 970615/0000, 22.35, 91.81, 34.0, 50.31, 50.31, 21.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 321.29, 3472.86, 225.01, 20.41, 5763.00, 0.62
